desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.46
2, 2, 3.06
3, 4, 5.9
6, 6, 8.58
8, 9, 13.09
11, 12, 16.71
15, 16, 22.19
18, 20, 22.4
24, 25, 28.63
26, 30, 28.76
36, 36, 33.3
37, 42, 33.81
49, 48, 34.19
50, 56, 39.28
63, 63, 39.17
66, 72, 44.42
78, 80, 45.21
85, 90, 51.05
95, 99, 49.97
105, 110, 55.86
114, 120, 56.82
129, 132, 61.79
135, 143, 61.83
154, 156, 67.9
157, 168, 67.35
182, 195, 73.21
208, 208, 72.55
212, 224, 78.3
235, 238, 78.35
244, 255, 84.57
265, 270, 84.47
279, 288, 89.49
296, 304, 89.61
316, 323, 94.97
328, 340, 95.39
355, 360, 99.55
363, 378, 99.5
397, 399, 99.89
399, 418, 99.83
437, 437, 99.83
441, 460, 100.0
