desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.38
2, 2, 2.89
4, 4, 5.29
5, 6, 8.57
9, 12, 16.65
16, 15, 20.29
17, 20, 26.22
24, 24, 31.1
26, 30, 31.86
34, 35, 36.6
39, 42, 35.99
45, 48, 41.71
53, 56, 41.2
59, 63, 46.45
70, 72, 47.15
74, 80, 51.94
89, 90, 51.84
91, 99, 57.26
109, 108, 62.12
110, 120, 61.21
130, 130, 65.17
134, 143, 65.43
152, 154, 70.11
160, 168, 70.91
175, 180, 75.1
188, 195, 76.0
201, 208, 79.93
219, 224, 80.31
228, 238, 84.56
252, 255, 84.42
257, 270, 89.31
287, 288, 89.84
288, 304, 94.56
320, 320, 99.46
324, 340, 99.44
354, 357, 100.0
