desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.39
4, 4, 6.12
7, 7, 10.44
10, 10, 13.12
13, 13, 16.23
16, 16, 20.52
19, 19, 22.77
22, 22, 26.44
25, 25, 28.46
28, 28, 31.27
31, 31, 34.07
41, 41, 42.26
51, 51, 49.0
61, 61, 54.35
71, 71, 58.55
81, 81, 63.95
91, 91, 68.28
101, 101, 71.73
111, 111, 75.49
121, 121, 77.96
131, 131, 81.05
141, 141, 82.93
151, 151, 85.06
161, 161, 86.73
171, 171, 88.46
181, 181, 89.94
191, 191, 90.63
201, 201, 91.88
211, 211, 92.88
221, 221, 93.69
231, 231, 94.23
241, 241, 94.84
251, 251, 95.79
261, 261, 95.93
271, 271, 96.41
281, 281, 97.18
291, 291, 97.2
301, 301, 97.47
311, 311, 97.89
321, 321, 98.01
331, 331, 98.41
341, 341, 98.61
351, 351, 98.64
361, 361, 98.82
371, 371, 99.02
381, 381, 99.08
391, 391, 99.1
401, 401, 99.34
411, 411, 99.5
421, 421, 99.49
431, 431, 99.45
441, 441, 99.72
451, 451, 99.71
461, 461, 99.56
471, 471, 99.64
481, 481, 99.65
491, 491, 99.78
501, 501, 99.85
511, 511, 99.83
521, 521, 99.8
531, 531, 99.81
541, 541, 99.86
551, 551, 99.86
561, 561, 99.87
571, 571, 99.88
581, 581, 99.94
591, 591, 99.9
601, 601, 99.94
611, 611, 99.94
621, 621, 99.95
631, 631, 99.95
641, 641, 99.98
651, 651, 99.98
661, 661, 99.99
671, 671, 99.98
681, 681, 99.94
691, 691, 99.97
701, 701, 100.0
