desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.55
2, 2, 2.83
3, 4, 5.44
6, 6, 7.84
8, 9, 11.4
11, 12, 15.55
15, 16, 20.87
18, 20, 25.96
24, 25, 32.2
26, 30, 38.01
36, 36, 45.53
37, 42, 51.5
49, 48, 58.12
50, 56, 67.17
63, 63, 70.03
66, 72, 77.56
78, 80, 80.12
85, 90, 86.06
95, 99, 87.48
105, 110, 92.36
114, 120, 93.97
129, 132, 96.24
135, 143, 96.99
154, 156, 98.37
157, 168, 98.42
182, 195, 99.5
208, 208, 99.7
212, 224, 99.84
235, 238, 99.94
244, 255, 99.99
265, 270, 99.98
279, 288, 99.99
296, 304, 100.0
