desiredholes, actualholes, successrate
0, 0, 0
1, 1, 2.33
4, 4, 7.32
7, 7, 12.39
10, 10, 16.46
13, 13, 21.15
16, 16, 25.67
19, 19, 29.21
22, 22, 34.13
25, 25, 37.05
28, 28, 40.78
31, 31, 43.26
41, 41, 52.75
51, 51, 62.13
61, 61, 67.54
71, 71, 72.74
81, 81, 78.08
91, 91, 81.32
101, 101, 85.29
111, 111, 88.62
121, 121, 90.36
131, 131, 91.27
141, 141, 92.91
151, 151, 94.06
161, 161, 94.68
171, 171, 95.33
181, 181, 95.69
191, 191, 96.0
201, 201, 96.49
211, 211, 96.89
221, 221, 96.89
231, 231, 97.29
241, 241, 97.36
251, 251, 97.75
261, 261, 97.83
271, 271, 97.9
281, 281, 97.85
291, 291, 98.25
301, 301, 98.15
311, 311, 98.5
321, 321, 98.57
331, 331, 98.54
341, 341, 98.93
351, 351, 98.94
361, 361, 98.88
371, 371, 99.16
381, 381, 99.16
391, 391, 99.22
401, 401, 99.22
411, 411, 99.42
421, 421, 99.44
431, 431, 99.54
441, 441, 99.58
451, 451, 99.64
461, 461, 99.68
471, 471, 99.79
481, 481, 99.88
491, 491, 99.8
501, 501, 99.88
511, 511, 99.87
521, 521, 99.89
531, 531, 99.92
541, 541, 99.92
551, 551, 99.88
561, 561, 99.94
571, 571, 99.95
581, 581, 99.96
591, 591, 99.99
601, 601, 100.0
