desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.5
2, 2, 0.5
3, 4, 1.6
6, 6, 2.2
8, 9, 2.8
11, 12, 3.7
15, 16, 3.9
18, 20, 5.633333333333334
24, 25, 7.0
26, 30, 8.7
36, 36, 9.233333333333333
37, 42, 11.5
49, 48, 13.7
50, 56, 16.2
63, 63, 17.3
66, 72, 21.133333333333333
78, 80, 23.1
85, 90, 25.3
95, 99, 27.633333333333333
105, 110, 31.8
114, 120, 35.7
129, 132, 37.43333333333333
135, 143, 41.43333333333333
154, 156, 43.36666666666667
157, 168, 47.766666666666666
182, 195, 51.86666666666667
208, 208, 54.86666666666667
212, 224, 59.43333333333333
235, 238, 59.96666666666667
244, 255, 63.4
265, 270, 64.53333333333333
279, 288, 69.3
296, 304, 70.0
316, 323, 73.86666666666666
328, 340, 73.6
355, 360, 77.3
363, 378, 78.53333333333333
397, 399, 82.1
399, 418, 83.43333333333334
437, 437, 84.4
441, 460, 86.33333333333333
477, 480, 86.9
487, 504, 89.46666666666667
519, 525, 90.36666666666666
536, 550, 93.2
562, 572, 91.7
587, 598, 94.03333333333333
607, 621, 94.86666666666666
640, 648, 95.4
654, 672, 96.03333333333333
696, 700, 97.33333333333333
702, 725, 97.33333333333333
752, 750, 97.83333333333333
753, 780, 98.76666666666667
804, 806, 98.93333333333334
813, 837, 99.2
858, 864, 99.33333333333333
876, 896, 99.43333333333334
913, 924, 99.53333333333333
941, 957, 99.76666666666667
970, 986, 99.7
1008, 1020, 99.76666666666667
1029, 1050, 99.73333333333333
1077, 1085, 99.96666666666667
1090, 1116, 99.9
1149, 1152, 99.96666666666667
1152, 1184, 99.96666666666667
1216, 1216, 100.0
