desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.26666666666666666
4, 4, 1.2666666666666666
7, 7, 2.433333333333333
10, 10, 3.6333333333333333
13, 13, 3.7666666666666666
16, 16, 4.733333333333333
19, 19, 5.133333333333334
22, 22, 6.933333333333334
25, 25, 7.766666666666667
28, 28, 8.0
31, 31, 9.466666666666667
41, 41, 12.233333333333333
51, 51, 16.366666666666667
61, 61, 18.866666666666667
71, 71, 19.933333333333334
81, 81, 24.366666666666667
91, 91, 25.7
101, 101, 28.6
111, 111, 30.7
121, 121, 34.8
131, 131, 35.0
141, 141, 39.1
151, 151, 40.0
161, 161, 43.766666666666666
171, 171, 45.2
181, 181, 46.8
191, 191, 50.766666666666666
201, 201, 51.2
211, 211, 56.56666666666667
221, 221, 54.9
231, 231, 58.93333333333333
241, 241, 59.8
251, 251, 59.2
261, 261, 64.16666666666667
271, 271, 63.3
281, 281, 66.33333333333333
291, 291, 66.96666666666667
301, 301, 67.6
311, 311, 70.56666666666666
321, 321, 70.46666666666667
331, 331, 74.23333333333333
341, 341, 74.73333333333333
351, 351, 74.23333333333333
361, 361, 76.7
371, 371, 77.23333333333333
381, 381, 78.53333333333333
391, 391, 80.1
401, 401, 80.16666666666667
411, 411, 81.3
421, 421, 83.2
431, 431, 81.96666666666667
441, 441, 84.53333333333333
451, 451, 84.13333333333334
461, 461, 85.43333333333334
471, 471, 85.53333333333333
481, 481, 86.13333333333334
491, 491, 89.4
501, 501, 87.83333333333333
511, 511, 88.63333333333334
521, 521, 90.8
531, 531, 90.06666666666666
541, 541, 90.4
551, 551, 91.96666666666667
561, 561, 93.13333333333334
571, 571, 92.73333333333333
581, 581, 93.06666666666666
591, 591, 94.23333333333333
601, 601, 93.3
611, 611, 93.56666666666666
621, 621, 95.1
631, 631, 94.8
641, 641, 95.3
651, 651, 94.36666666666666
661, 661, 95.2
671, 671, 95.5
681, 681, 95.86666666666666
691, 691, 96.0
701, 701, 96.13333333333334
711, 711, 96.1
721, 721, 96.33333333333333
731, 731, 96.63333333333334
741, 741, 97.23333333333333
751, 751, 97.26666666666667
761, 761, 97.36666666666666
771, 771, 97.26666666666667
781, 781, 97.8
791, 791, 98.3
801, 801, 98.4
811, 811, 98.03333333333333
821, 821, 97.96666666666667
831, 831, 98.5
841, 841, 98.56666666666666
851, 851, 98.66666666666667
861, 861, 98.23333333333333
871, 871, 98.4
881, 881, 98.46666666666667
891, 891, 98.56666666666666
901, 901, 98.96666666666667
911, 911, 98.66666666666667
921, 921, 98.96666666666667
931, 931, 98.83333333333333
941, 941, 99.1
951, 951, 99.1
961, 961, 99.43333333333334
971, 971, 99.23333333333333
981, 981, 99.3
991, 991, 99.4
1001, 1001, 99.43333333333334
1011, 1011, 99.46666666666667
1021, 1021, 99.03333333333333
1031, 1031, 99.46666666666667
1041, 1041, 99.56666666666666
1051, 1051, 99.63333333333334
1061, 1061, 99.46666666666667
1071, 1071, 99.56666666666666
1081, 1081, 99.83333333333333
1091, 1091, 99.5
1101, 1101, 99.83333333333333
1111, 1111, 99.63333333333334
1121, 1121, 99.73333333333333
1131, 1131, 99.83333333333333
1141, 1141, 99.66666666666667
1151, 1151, 99.7
1161, 1161, 99.76666666666667
1171, 1171, 99.8
1181, 1181, 99.73333333333333
1191, 1191, 99.8
1201, 1201, 99.96666666666667
1211, 1211, 99.56666666666666
1221, 1221, 99.8
1231, 1231, 99.73333333333333
1241, 1241, 99.83333333333333
1251, 1251, 99.83333333333333
1261, 1261, 99.86666666666666
1271, 1271, 99.93333333333334
1281, 1281, 99.8
1291, 1291, 99.86666666666666
1301, 1301, 99.86666666666666
1311, 1311, 99.83333333333333
1321, 1321, 99.96666666666667
1331, 1331, 99.76666666666667
1341, 1341, 99.86666666666666
1351, 1351, 99.93333333333334
1361, 1361, 99.83333333333333
1371, 1371, 99.93333333333334
1381, 1381, 99.96666666666667
1391, 1391, 99.86666666666666
1401, 1401, 99.86666666666666
1411, 1411, 99.9
1421, 1421, 99.86666666666666
1431, 1431, 99.96666666666667
1441, 1441, 99.9
1451, 1451, 99.93333333333334
1461, 1461, 99.96666666666667
1471, 1471, 100.0
