desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.26666666666666666
4, 4, 0.9666666666666667
7, 7, 2.1
10, 10, 2.3666666666666667
13, 13, 3.566666666666667
16, 16, 5.3
19, 19, 5.766666666666667
22, 22, 6.366666666666666
25, 25, 6.366666666666666
28, 28, 7.2
31, 31, 7.5
41, 41, 11.5
51, 51, 12.433333333333334
61, 61, 14.833333333333334
71, 71, 17.5
81, 81, 21.233333333333334
91, 91, 21.933333333333334
101, 101, 24.7
111, 111, 25.633333333333333
121, 121, 28.3
131, 131, 29.6
141, 141, 31.133333333333333
151, 151, 33.666666666666664
161, 161, 34.86666666666667
171, 171, 36.86666666666667
181, 181, 38.833333333333336
191, 191, 41.0
201, 201, 42.666666666666664
211, 211, 44.93333333333333
221, 221, 44.56666666666667
231, 231, 46.733333333333334
241, 241, 48.4
251, 251, 49.63333333333333
261, 261, 48.93333333333333
271, 271, 52.0
281, 281, 53.56666666666667
291, 291, 54.43333333333333
301, 301, 54.5
311, 311, 56.36666666666667
321, 321, 57.233333333333334
331, 331, 57.233333333333334
341, 341, 58.2
351, 351, 61.13333333333333
361, 361, 61.333333333333336
371, 371, 61.93333333333333
381, 381, 63.4
391, 391, 64.7
401, 401, 67.7
411, 411, 67.33333333333333
421, 421, 68.46666666666667
431, 431, 68.36666666666666
441, 441, 70.53333333333333
451, 451, 70.93333333333334
461, 461, 72.23333333333333
471, 471, 71.26666666666667
481, 481, 72.13333333333334
491, 491, 73.26666666666667
501, 501, 74.1
511, 511, 75.76666666666667
521, 521, 76.06666666666666
531, 531, 76.93333333333334
541, 541, 77.4
551, 551, 77.5
561, 561, 77.43333333333334
571, 571, 77.2
581, 581, 79.93333333333334
591, 591, 79.43333333333334
601, 601, 80.53333333333333
611, 611, 81.63333333333334
621, 621, 80.03333333333333
631, 631, 82.16666666666667
641, 641, 83.1
651, 651, 82.4
661, 661, 83.2
671, 671, 83.06666666666666
681, 681, 83.63333333333334
691, 691, 84.03333333333333
701, 701, 84.1
711, 711, 86.06666666666666
721, 721, 86.7
731, 731, 86.46666666666667
741, 741, 85.93333333333334
751, 751, 87.46666666666667
761, 761, 87.8
771, 771, 88.23333333333333
781, 781, 87.83333333333333
791, 791, 89.53333333333333
801, 801, 88.96666666666667
811, 811, 89.2
821, 821, 89.43333333333334
831, 831, 89.33333333333333
841, 841, 89.4
851, 851, 90.33333333333333
861, 861, 90.03333333333333
871, 871, 91.1
881, 881, 91.56666666666666
891, 891, 91.1
901, 901, 91.26666666666667
911, 911, 91.23333333333333
921, 921, 91.6
931, 931, 91.4
941, 941, 91.66666666666667
951, 951, 92.3
961, 961, 92.96666666666667
971, 971, 93.3
981, 981, 94.1
991, 991, 93.43333333333334
1001, 1001, 93.16666666666667
1011, 1011, 93.43333333333334
1021, 1021, 93.76666666666667
1031, 1031, 93.5
1041, 1041, 93.96666666666667
1051, 1051, 93.23333333333333
1061, 1061, 95.73333333333333
1071, 1071, 94.53333333333333
1081, 1081, 95.1
1091, 1091, 94.8
1101, 1101, 94.76666666666667
1111, 1111, 95.36666666666666
1121, 1121, 94.76666666666667
1131, 1131, 96.16666666666667
1141, 1141, 95.4
1151, 1151, 94.43333333333334
1161, 1161, 95.8
1171, 1171, 95.9
1181, 1181, 96.13333333333334
1191, 1191, 96.9
1201, 1201, 96.3
1211, 1211, 95.83333333333333
1221, 1221, 96.43333333333334
1231, 1231, 96.8
1241, 1241, 96.83333333333333
1251, 1251, 97.0
1261, 1261, 96.5
1271, 1271, 96.66666666666667
1281, 1281, 96.8
1291, 1291, 97.2
1301, 1301, 97.86666666666666
1311, 1311, 96.9
1321, 1321, 97.26666666666667
1331, 1331, 97.73333333333333
1341, 1341, 97.6
1351, 1351, 97.36666666666666
1361, 1361, 98.2
1371, 1371, 97.8
1381, 1381, 97.73333333333333
1391, 1391, 98.36666666666666
1401, 1401, 98.23333333333333
1411, 1411, 98.0
1421, 1421, 97.9
1431, 1431, 98.33333333333333
1441, 1441, 98.53333333333333
1451, 1451, 98.23333333333333
1461, 1461, 98.46666666666667
1471, 1471, 98.3
1481, 1481, 98.3
1491, 1491, 98.43333333333334
1501, 1501, 98.53333333333333
1511, 1511, 98.43333333333334
1521, 1521, 98.33333333333333
1531, 1531, 98.56666666666666
1541, 1541, 99.03333333333333
1551, 1551, 98.3
1561, 1561, 98.83333333333333
1571, 1571, 98.7
1581, 1581, 99.0
1591, 1591, 98.96666666666667
1601, 1601, 98.66666666666667
1611, 1611, 99.1
1621, 1621, 98.86666666666666
1631, 1631, 98.7
1641, 1641, 99.0
1651, 1651, 99.43333333333334
1661, 1661, 98.96666666666667
1671, 1671, 98.96666666666667
1681, 1681, 99.06666666666666
1691, 1691, 99.23333333333333
1701, 1701, 99.0
1711, 1711, 99.16666666666667
1721, 1721, 99.23333333333333
1731, 1731, 99.33333333333333
1741, 1741, 99.33333333333333
1751, 1751, 99.06666666666666
1761, 1761, 99.36666666666666
1771, 1771, 99.4
1781, 1781, 99.26666666666667
1791, 1791, 99.6
1801, 1801, 99.56666666666666
1811, 1811, 99.36666666666666
1821, 1821, 99.46666666666667
1831, 1831, 99.5
1841, 1841, 99.63333333333334
1851, 1851, 99.46666666666667
1861, 1861, 99.4
1871, 1871, 99.36666666666666
1881, 1881, 99.36666666666666
1891, 1891, 99.46666666666667
1901, 1901, 99.53333333333333
1911, 1911, 99.6
1921, 1921, 99.43333333333334
1931, 1931, 99.46666666666667
1941, 1941, 99.7
1951, 1951, 99.66666666666667
1961, 1961, 99.7
1971, 1971, 99.6
1981, 1981, 99.53333333333333
1991, 1991, 99.56666666666666
2001, 2001, 99.33333333333333
2011, 2011, 99.7
2021, 2021, 99.8
2031, 2031, 99.66666666666667
2041, 2041, 99.7
2051, 2051, 99.73333333333333
2061, 2061, 99.73333333333333
2071, 2071, 99.73333333333333
2081, 2081, 99.8
2091, 2091, 99.63333333333334
2101, 2101, 99.7
2111, 2111, 99.8
2121, 2121, 99.9
2131, 2131, 99.7
2141, 2141, 99.86666666666666
2151, 2151, 99.66666666666667
2161, 2161, 99.83333333333333
2171, 2171, 99.66666666666667
2181, 2181, 99.8
2191, 2191, 99.83333333333333
2201, 2201, 99.73333333333333
2211, 2211, 99.8
2221, 2221, 99.83333333333333
2231, 2231, 99.9
2241, 2241, 99.76666666666667
2251, 2251, 99.76666666666667
2261, 2261, 99.8
2271, 2271, 99.86666666666666
2281, 2281, 99.86666666666666
2291, 2291, 99.86666666666666
2301, 2301, 99.8
2311, 2311, 99.9
2321, 2321, 99.8
2331, 2331, 99.86666666666666
2341, 2341, 99.8
2351, 2351, 99.9
2361, 2361, 99.8
2371, 2371, 100.0
