desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.54
4, 4, 2.2
7, 7, 4.07
10, 10, 5.57
13, 13, 7.68
16, 16, 9.04
19, 19, 10.85
22, 22, 12.78
25, 25, 13.57
28, 28, 15.64
31, 31, 17.64
41, 41, 22.5
51, 51, 27.07
61, 61, 32.86
71, 71, 36.9
81, 81, 41.06
91, 91, 46.11
101, 101, 48.65
111, 111, 53.44
121, 121, 57.12
131, 131, 59.59
141, 141, 62.44
151, 151, 66.61
161, 161, 67.96
171, 171, 71.26
181, 181, 74.2
191, 191, 76.25
201, 201, 77.71
211, 211, 80.89
221, 221, 82.34
231, 231, 83.86
241, 241, 85.19
251, 251, 86.78
261, 261, 87.64
271, 271, 89.18
281, 281, 89.94
291, 291, 91.18
301, 301, 91.83
311, 311, 92.69
321, 321, 92.87
331, 331, 94.18
341, 341, 94.38
351, 351, 95.37
361, 361, 95.77
371, 371, 96.26
381, 381, 96.84
391, 391, 97.32
401, 401, 97.44
411, 411, 98.0
421, 421, 98.32
431, 431, 98.61
441, 441, 98.81
451, 451, 98.94
461, 461, 98.86
471, 471, 99.22
481, 481, 99.25
491, 491, 99.33
501, 501, 99.19
511, 511, 99.43
521, 521, 99.43
531, 531, 99.54
541, 541, 99.51
551, 551, 99.62
561, 561, 99.59
571, 571, 99.72
581, 581, 99.73
591, 591, 99.82
601, 601, 99.81
611, 611, 99.91
621, 621, 99.87
631, 631, 99.91
641, 641, 99.91
651, 651, 99.97
661, 661, 99.92
671, 671, 99.95
681, 681, 99.95
691, 691, 99.94
701, 701, 99.97
711, 711, 99.95
721, 721, 99.94
731, 731, 99.95
741, 741, 99.97
751, 751, 99.99
761, 761, 99.99
771, 771, 99.97
781, 781, 99.97
791, 791, 100.0
