desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.55
2, 2, 1.27
4, 4, 2.21
5, 6, 3.25
9, 12, 6.74
16, 15, 8.49
17, 20, 11.45
24, 24, 13.89
26, 30, 16.55
34, 35, 19.22
39, 42, 22.63
45, 48, 26.47
53, 56, 29.5
59, 63, 34.65
70, 72, 38.61
74, 80, 42.84
89, 90, 45.39
91, 99, 49.89
109, 108, 53.51
110, 120, 55.06
130, 130, 59.06
134, 143, 59.78
152, 154, 64.67
160, 168, 65.02
175, 180, 70.23
188, 195, 71.13
201, 208, 74.8
219, 224, 75.76
228, 238, 79.92
252, 255, 81.07
257, 270, 85.73
287, 288, 85.9
288, 304, 91.57
320, 320, 95.73
324, 340, 96.35
354, 357, 99.05
364, 378, 99.58
390, 396, 100.0
