desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.63
4, 4, 2.23
7, 7, 4.14
10, 10, 5.32
13, 13, 7.12
16, 16, 8.66
19, 19, 10.51
22, 22, 11.7
25, 25, 13.24
28, 28, 14.24
31, 31, 16.2
41, 41, 20.99
51, 51, 24.14
61, 61, 28.04
71, 71, 33.21
81, 81, 35.35
91, 91, 38.55
101, 101, 42.66
111, 111, 44.79
121, 121, 48.21
131, 131, 50.28
141, 141, 53.63
151, 151, 55.59
161, 161, 58.5
171, 171, 60.55
181, 181, 62.05
191, 191, 64.2
201, 201, 65.81
211, 211, 68.61
221, 221, 69.56
231, 231, 70.92
241, 241, 73.35
251, 251, 74.25
261, 261, 75.2
271, 271, 76.13
281, 281, 77.51
291, 291, 78.42
301, 301, 80.64
311, 311, 81.14
321, 321, 82.5
331, 331, 82.59
341, 341, 83.8
351, 351, 84.13
361, 361, 85.92
371, 371, 85.98
381, 381, 86.73
391, 391, 87.16
401, 401, 88.29
411, 411, 88.77
421, 421, 88.98
431, 431, 89.5
441, 441, 90.27
451, 451, 90.44
461, 461, 91.63
471, 471, 91.28
481, 481, 91.78
491, 491, 92.54
501, 501, 93.08
511, 511, 93.83
521, 521, 94.1
531, 531, 94.48
541, 541, 94.66
551, 551, 94.88
561, 561, 95.06
571, 571, 94.96
581, 581, 95.23
591, 591, 95.82
601, 601, 95.93
611, 611, 96.12
621, 621, 96.41
631, 631, 96.77
641, 641, 96.85
651, 651, 96.71
661, 661, 96.89
671, 671, 97.28
681, 681, 97.41
691, 691, 97.39
701, 701, 97.55
711, 711, 97.48
721, 721, 97.85
731, 731, 97.84
741, 741, 97.97
751, 751, 98.16
761, 761, 98.41
771, 771, 98.43
781, 781, 98.27
791, 791, 98.52
801, 801, 98.78
811, 811, 98.84
821, 821, 98.88
831, 831, 99.0
841, 841, 98.96
851, 851, 98.76
861, 861, 98.99
871, 871, 99.16
881, 881, 99.0
891, 891, 99.12
901, 901, 99.11
911, 911, 99.1
921, 921, 99.2
931, 931, 99.29
941, 941, 99.34
951, 951, 99.39
961, 961, 99.38
971, 971, 99.43
981, 981, 99.63
991, 991, 99.58
1001, 1001, 99.6
1011, 1011, 99.49
1021, 1021, 99.68
1031, 1031, 99.68
1041, 1041, 99.64
1051, 1051, 99.69
1061, 1061, 99.74
1071, 1071, 99.69
1081, 1081, 99.7
1091, 1091, 99.7
1101, 1101, 99.77
1111, 1111, 99.75
1121, 1121, 99.76
1131, 1131, 99.75
1141, 1141, 99.79
1151, 1151, 99.83
1161, 1161, 99.79
1171, 1171, 99.85
1181, 1181, 99.67
1191, 1191, 99.89
1201, 1201, 99.78
1211, 1211, 99.9
1221, 1221, 99.9
1231, 1231, 99.87
1241, 1241, 99.89
1251, 1251, 99.9
1261, 1261, 99.9
1271, 1271, 99.82
1281, 1281, 99.9
1291, 1291, 99.94
1301, 1301, 99.95
1311, 1311, 99.88
1321, 1321, 99.95
1331, 1331, 99.87
1341, 1341, 99.94
1351, 1351, 99.96
1361, 1361, 99.9
1371, 1371, 99.91
1381, 1381, 99.98
1391, 1391, 99.93
1401, 1401, 99.95
1411, 1411, 99.95
1421, 1421, 99.99
1431, 1431, 99.94
1441, 1441, 99.97
1451, 1451, 99.94
1461, 1461, 99.95
1471, 1471, 99.98
1481, 1481, 99.98
1491, 1491, 99.99
1501, 1501, 99.95
1511, 1511, 99.97
1521, 1521, 99.98
1531, 1531, 99.98
1541, 1541, 99.98
1551, 1551, 99.98
1561, 1561, 99.98
1571, 1571, 99.98
1581, 1581, 100.0
