desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.7
2, 2, 1.24
3, 4, 2.31
6, 6, 3.81
8, 9, 4.94
11, 12, 6.99
15, 16, 8.95
18, 20, 10.87
24, 25, 14.02
26, 30, 16.0
36, 36, 19.47
37, 42, 23.36
49, 48, 25.1
50, 56, 30.7
63, 63, 33.65
66, 72, 37.22
78, 80, 40.56
85, 90, 46.8
95, 99, 50.28
105, 110, 54.58
114, 120, 59.32
129, 132, 63.64
135, 143, 67.42
154, 156, 72.21
157, 168, 76.14
182, 195, 82.58
208, 208, 85.5
212, 224, 89.09
235, 238, 91.07
244, 255, 93.15
265, 270, 94.62
279, 288, 96.56
296, 304, 97.39
316, 323, 98.62
328, 340, 99.01
355, 360, 99.44
363, 378, 99.73
397, 399, 99.86
399, 418, 99.92
437, 437, 99.95
441, 460, 99.97
477, 480, 100.0
