desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.64
2, 2, 1.27
3, 4, 2.21
6, 6, 3.37
8, 9, 5.04
11, 12, 6.78
15, 16, 9.34
18, 20, 10.91
24, 25, 13.8
26, 30, 17.17
36, 36, 19.42
37, 42, 23.17
49, 48, 25.94
50, 56, 29.48
63, 63, 34.13
66, 72, 38.25
78, 80, 43.09
85, 90, 48.98
95, 99, 52.94
105, 110, 58.18
114, 120, 62.08
129, 132, 66.88
135, 143, 70.12
154, 156, 76.76
157, 168, 79.51
182, 195, 85.78
208, 208, 88.09
212, 224, 91.56
235, 238, 93.12
244, 255, 96.04
265, 270, 97.29
279, 288, 99.17
296, 304, 99.38
316, 323, 100.0
