desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.57
4, 4, 2.54
7, 7, 3.79
10, 10, 5.58
13, 13, 6.99
16, 16, 9.26
19, 19, 10.71
22, 22, 12.47
25, 25, 14.07
28, 28, 15.55
31, 31, 17.13
41, 41, 22.23
51, 51, 27.22
61, 61, 32.8
71, 71, 37.05
81, 81, 41.08
91, 91, 45.39
101, 101, 49.79
111, 111, 53.42
121, 121, 55.52
131, 131, 60.59
141, 141, 63.64
151, 151, 66.31
161, 161, 69.03
171, 171, 71.27
181, 181, 72.89
191, 191, 75.55
201, 201, 78.13
211, 211, 78.78
221, 221, 81.5
231, 231, 82.89
241, 241, 84.8
251, 251, 86.52
261, 261, 88.24
271, 271, 89.27
281, 281, 90.97
291, 291, 91.76
301, 301, 92.71
311, 311, 92.9
321, 321, 94.02
331, 331, 94.4
341, 341, 94.96
351, 351, 95.44
361, 361, 96.03
371, 371, 95.87
381, 381, 97.12
391, 391, 97.1
401, 401, 97.42
411, 411, 98.09
421, 421, 97.7
431, 431, 98.42
441, 441, 98.67
451, 451, 98.8
461, 461, 98.79
471, 471, 98.81
481, 481, 99.17
491, 491, 99.22
501, 501, 99.34
511, 511, 99.32
521, 521, 99.38
531, 531, 99.55
541, 541, 99.71
551, 551, 99.69
561, 561, 99.77
571, 571, 99.84
581, 581, 99.85
591, 591, 99.94
601, 601, 99.9
611, 611, 99.9
621, 621, 99.92
631, 631, 99.94
641, 641, 99.94
651, 651, 99.96
661, 661, 99.98
671, 671, 99.95
681, 681, 99.93
691, 691, 99.98
701, 701, 99.94
711, 711, 100.0
