desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.69
4, 4, 1.94
7, 7, 3.72
10, 10, 5.71
13, 13, 7.15
16, 16, 8.63
19, 19, 9.87
22, 22, 10.95
25, 25, 12.74
28, 28, 14.03
31, 31, 16.2
41, 41, 20.4
51, 51, 24.08
61, 61, 28.38
71, 71, 32.2
81, 81, 35.85
91, 91, 39.73
101, 101, 42.44
111, 111, 45.37
121, 121, 47.05
131, 131, 50.66
141, 141, 53.02
151, 151, 56.52
161, 161, 58.51
171, 171, 59.77
181, 181, 61.78
191, 191, 64.21
201, 201, 65.58
211, 211, 67.7
221, 221, 70.14
231, 231, 70.86
241, 241, 71.84
251, 251, 73.4
261, 261, 76.09
271, 271, 76.48
281, 281, 77.72
291, 291, 79.29
301, 301, 80.11
311, 311, 81.31
321, 321, 81.54
331, 331, 82.57
341, 341, 84.08
351, 351, 84.3
361, 361, 84.89
371, 371, 85.74
381, 381, 86.68
391, 391, 87.88
401, 401, 88.72
411, 411, 89.07
421, 421, 89.92
431, 431, 89.6
441, 441, 90.49
451, 451, 90.87
461, 461, 91.63
471, 471, 91.64
481, 481, 92.03
491, 491, 92.76
501, 501, 93.0
511, 511, 93.65
521, 521, 93.72
531, 531, 93.74
541, 541, 94.19
551, 551, 94.67
561, 561, 94.73
571, 571, 95.23
581, 581, 95.23
591, 591, 95.52
601, 601, 96.03
611, 611, 95.86
621, 621, 96.48
631, 631, 96.37
641, 641, 96.66
651, 651, 96.7
661, 661, 96.97
671, 671, 97.53
681, 681, 97.22
691, 691, 97.19
701, 701, 97.39
711, 711, 97.75
721, 721, 97.93
731, 731, 98.02
741, 741, 98.22
751, 751, 97.96
761, 761, 98.37
771, 771, 98.3
781, 781, 98.41
791, 791, 98.51
801, 801, 98.49
811, 811, 98.96
821, 821, 98.71
831, 831, 98.79
841, 841, 98.97
851, 851, 99.09
861, 861, 98.84
871, 871, 99.04
881, 881, 99.02
891, 891, 99.3
901, 901, 99.1
911, 911, 99.13
921, 921, 99.3
931, 931, 99.33
941, 941, 99.35
951, 951, 99.34
961, 961, 99.36
971, 971, 99.37
981, 981, 99.54
991, 991, 99.59
1001, 1001, 99.67
1011, 1011, 99.58
1021, 1021, 99.59
1031, 1031, 99.47
1041, 1041, 99.67
1051, 1051, 99.67
1061, 1061, 99.59
1071, 1071, 99.7
1081, 1081, 99.71
1091, 1091, 99.6
1101, 1101, 99.72
1111, 1111, 99.75
1121, 1121, 99.81
1131, 1131, 99.74
1141, 1141, 99.71
1151, 1151, 99.76
1161, 1161, 99.74
1171, 1171, 99.84
1181, 1181, 99.84
1191, 1191, 99.89
1201, 1201, 99.82
1211, 1211, 99.82
1221, 1221, 99.76
1231, 1231, 99.81
1241, 1241, 99.88
1251, 1251, 99.84
1261, 1261, 99.83
1271, 1271, 99.93
1281, 1281, 99.93
1291, 1291, 99.92
1301, 1301, 99.89
1311, 1311, 99.92
1321, 1321, 99.92
1331, 1331, 99.97
1341, 1341, 99.89
1351, 1351, 99.96
1361, 1361, 99.94
1371, 1371, 99.96
1381, 1381, 99.94
1391, 1391, 99.96
1401, 1401, 99.97
1411, 1411, 99.93
1421, 1421, 99.95
1431, 1431, 99.96
1441, 1441, 99.96
1451, 1451, 99.96
1461, 1461, 99.98
1471, 1471, 99.95
1481, 1481, 99.97
1491, 1491, 99.95
1501, 1501, 99.96
1511, 1511, 99.97
1521, 1521, 99.97
1531, 1531, 99.97
1541, 1541, 99.93
1551, 1551, 99.97
1561, 1561, 99.99
1571, 1571, 99.98
1581, 1581, 99.99
1591, 1591, 99.98
1601, 1601, 99.97
1611, 1611, 99.99
1621, 1621, 99.99
1631, 1631, 99.99
1641, 1641, 100.0
