desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.5
2, 2, 1.24
3, 4, 2.48
6, 6, 3.5
8, 9, 5.41
11, 12, 6.71
15, 16, 8.38
18, 20, 11.07
24, 25, 13.22
26, 30, 16.01
36, 36, 19.46
37, 42, 21.54
49, 48, 24.78
50, 56, 30.04
63, 63, 32.81
66, 72, 37.28
78, 80, 41.44
85, 90, 47.17
95, 99, 50.39
105, 110, 55.92
114, 120, 59.24
129, 132, 63.38
135, 143, 68.76
154, 156, 72.2
157, 168, 77.11
182, 195, 84.55
208, 208, 87.49
212, 224, 89.98
235, 238, 92.6
244, 255, 94.42
265, 270, 96.18
279, 288, 97.3
296, 304, 97.98
316, 323, 98.84
328, 340, 99.15
355, 360, 99.44
363, 378, 99.68
397, 399, 99.83
399, 418, 99.9
437, 437, 99.94
441, 460, 99.97
477, 480, 100.0
