desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.02
2, 2, 0.06
4, 4, 0.25
5, 6, 0.23
9, 12, 0.47
16, 15, 0.49
17, 20, 0.58
24, 24, 0.96
26, 30, 1.33
34, 35, 1.34
39, 42, 1.68
45, 48, 2.16
53, 56, 2.16
59, 63, 2.33
70, 72, 2.79
74, 80, 2.71
89, 90, 3.75
91, 99, 3.59
109, 108, 4.23
110, 120, 4.52
130, 130, 5.01
134, 143, 5.23
152, 154, 5.64
160, 168, 6.45
175, 180, 7.15
188, 195, 8.06
201, 208, 7.81
219, 224, 8.96
228, 238, 9.13
252, 255, 9.61
257, 270, 9.97
287, 288, 11.28
288, 304, 12.37
320, 320, 12.62
324, 340, 12.78
354, 357, 13.72
364, 378, 14.15
390, 396, 14.82
406, 418, 15.84
428, 437, 16.66
451, 460, 17.54
467, 480, 19.23
498, 504, 18.56
508, 525, 20.5
547, 550, 21.09
551, 572, 22.17
595, 594, 23.35
598, 621, 23.79
642, 644, 25.26
652, 672, 25.44
690, 696, 26.55
708, 725, 28.23
739, 750, 29.05
766, 780, 29.32
791, 806, 31.56
827, 837, 32.18
844, 864, 33.36
890, 896, 34.29
899, 924, 35.71
955, 957, 36.81
956, 986, 38.58
1014, 1015, 38.21
1022, 1050, 40.37
1074, 1080, 41.68
1092, 1116, 43.09
1136, 1147, 43.83
1164, 1184, 45.21
1200, 1216, 47.67
1239, 1254, 47.94
1265, 1287, 49.63
1316, 1326, 50.36
1332, 1360, 52.79
1395, 1400, 53.72
1401, 1435, 54.56
1471, 1470, 56.22
1476, 1512, 57.6
1544, 1548, 59.14
1560, 1591, 62.16
1617, 1628, 63.55
1646, 1672, 64.42
1693, 1710, 66.17
1734, 1755, 66.72
1771, 1794, 68.05
1825, 1840, 70.27
1850, 1880, 72.56
1918, 1927, 72.83
1931, 1968, 75.29
2013, 2058, 78.08
2098, 2100, 79.49
2111, 2150, 82.14
2184, 2193, 83.54
2211, 2244, 84.61
2272, 2288, 87.4
2313, 2340, 88.36
2361, 2385, 89.33
2417, 2438, 90.23
2453, 2484, 91.12
2524, 2538, 93.03
2546, 2585, 93.69
2633, 2640, 95.48
2640, 2688, 95.94
2737, 2736, 96.27
2745, 2793, 98.07
2835, 2842, 98.43
2858, 2900, 99.4
2935, 2950, 99.32
2974, 3009, 99.74
3037, 3060, 99.59
3093, 3120, 99.63
3140, 3172, 99.68
3213, 3233, 99.7
3245, 3286, 99.74
3336, 3348, 99.77
3352, 3402, 99.76
3461, 3456, 99.75
3462, 3520, 99.77
3571, 3575, 99.83
3589, 3640, 99.83
3683, 3696, 99.83
3719, 3762, 99.79
3797, 3819, 99.76
3851, 3886, 99.83
3913, 3944, 99.9
3986, 4012, 99.88
4030, 4071, 99.83
4123, 4140, 99.9
4149, 4200, 99.94
4262, 4270, 99.91
4270, 4331, 99.92
4392, 4392, 99.92
4403, 4464, 99.91
4516, 4526, 99.96
4547, 4599, 99.95
4642, 4662, 99.94
4693, 4736, 99.98
4770, 4800, 99.95
4842, 4875, 99.99
4899, 4940, 100.0
