desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.6
2, 2, 2.88
4, 4, 5.88
5, 6, 8.56
9, 12, 16.26
16, 15, 20.61
17, 20, 26.11
24, 24, 32.6
26, 30, 34.79
34, 35, 40.7
39, 42, 40.49
45, 48, 46.41
53, 56, 45.47
59, 63, 51.6
70, 72, 51.85
74, 80, 57.14
89, 90, 57.26
91, 99, 61.45
109, 108, 67.37
110, 120, 67.32
130, 130, 72.08
134, 143, 72.19
152, 154, 77.79
160, 168, 77.85
175, 180, 82.88
188, 195, 83.12
201, 208, 87.84
219, 224, 87.31
228, 238, 93.78
252, 255, 93.81
257, 270, 98.81
287, 288, 99.04
288, 304, 100.0
