desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.14
2, 2, 0.27
4, 4, 0.48
5, 6, 0.77
9, 12, 1.6
16, 15, 1.51
17, 20, 2.38
24, 24, 3.12
26, 30, 3.54
34, 35, 4.3
39, 42, 5.2
45, 48, 6.07
53, 56, 6.42
59, 63, 7.7
70, 72, 8.8
74, 80, 9.89
89, 90, 10.94
91, 99, 12.4
109, 108, 13.68
110, 120, 14.86
130, 130, 15.56
134, 143, 18.0
152, 154, 18.31
160, 168, 21.4
175, 180, 22.18
188, 195, 23.42
201, 208, 25.15
219, 224, 27.69
228, 238, 28.14
252, 255, 31.08
257, 270, 32.84
287, 288, 34.73
288, 304, 36.58
320, 320, 37.55
324, 340, 40.97
354, 357, 41.17
364, 378, 44.49
390, 396, 46.18
406, 418, 48.84
428, 437, 51.52
451, 460, 53.95
467, 480, 56.58
498, 504, 59.48
508, 525, 60.91
547, 550, 64.67
551, 572, 67.29
595, 594, 68.83
598, 621, 72.0
642, 644, 75.45
652, 672, 77.75
690, 696, 80.91
708, 725, 83.99
739, 750, 87.13
766, 780, 90.62
791, 806, 93.07
827, 837, 95.34
844, 864, 96.27
890, 896, 97.64
899, 924, 98.25
955, 957, 99.32
956, 986, 99.72
