desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.7
2, 2, 1.39
4, 4, 2.85
5, 6, 4.04
9, 12, 7.18
16, 15, 8.99
17, 20, 12.31
24, 24, 14.38
26, 30, 16.93
34, 35, 20.56
39, 42, 23.47
45, 48, 27.13
53, 56, 30.77
59, 63, 34.3
70, 72, 37.29
74, 80, 40.2
89, 90, 44.59
91, 99, 46.8
109, 108, 51.54
110, 120, 52.6
130, 130, 58.9
134, 143, 61.58
152, 154, 66.84
160, 168, 69.94
175, 180, 73.25
188, 195, 76.73
201, 208, 80.59
219, 224, 83.56
228, 238, 83.19
252, 255, 85.82
257, 270, 86.86
287, 288, 88.67
288, 304, 91.06
320, 320, 91.82
324, 340, 92.4
354, 357, 92.52
364, 378, 94.04
390, 396, 93.52
406, 418, 94.94
428, 437, 94.84
451, 460, 95.72
467, 480, 97.16
498, 504, 97.99
508, 525, 98.32
547, 550, 98.87
551, 572, 98.75
595, 594, 99.24
598, 621, 99.49
642, 644, 99.52
652, 672, 99.84
690, 696, 99.62
708, 725, 99.79
739, 750, 99.97
766, 780, 100.0
