desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.61
2, 2, 1.17
3, 4, 2.28
6, 6, 3.57
8, 9, 5.08
11, 12, 6.77
15, 16, 9.84
18, 20, 12.03
24, 25, 14.31
26, 30, 16.72
36, 36, 20.7
37, 42, 22.82
49, 48, 25.833333333333332
50, 56, 31.0
63, 63, 33.93333333333333
66, 72, 38.4
78, 80, 42.666666666666664
85, 90, 46.766666666666666
95, 99, 51.166666666666664
105, 110, 55.233333333333334
114, 120, 59.766666666666666
129, 132, 65.03333333333333
135, 143, 67.9
154, 156, 70.63333333333334
157, 168, 73.9
182, 195, 81.7
208, 208, 84.8
212, 224, 87.4
235, 238, 89.3
244, 255, 92.06666666666666
265, 270, 94.2
279, 288, 96.0
296, 304, 96.6
316, 323, 97.9
328, 340, 98.6
355, 360, 99.03333333333333
363, 378, 99.33333333333333
397, 399, 99.86666666666666
399, 418, 99.9
437, 437, 99.96666666666667
441, 460, 100.0
