desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.35
2, 2, 0.53
3, 4, 1.37
6, 6, 2.31
8, 9, 3.22
11, 12, 4.31
15, 16, 5.18
18, 20, 6.18
24, 25, 7.8
26, 30, 9.49
36, 36, 11.9
37, 42, 13.29
49, 48, 14.6
50, 56, 16.433333333333334
63, 63, 18.966666666666665
66, 72, 20.933333333333334
78, 80, 26.533333333333335
85, 90, 26.4
95, 99, 30.9
105, 110, 33.333333333333336
114, 120, 35.7
129, 132, 38.43333333333333
135, 143, 44.266666666666666
154, 156, 45.733333333333334
157, 168, 51.1
182, 195, 59.6
208, 208, 63.36666666666667
212, 224, 67.33333333333333
235, 238, 71.13333333333334
244, 255, 77.9
265, 270, 82.16666666666667
279, 288, 82.1
296, 304, 87.96666666666667
316, 323, 87.2
328, 340, 91.93333333333334
355, 360, 91.56666666666666
363, 378, 96.13333333333334
397, 399, 96.4
399, 418, 99.76666666666667
437, 437, 99.96666666666667
441, 460, 100.0
