desiredholes, actualholes, successrate
0, 0, 0
1, 1, 3.45
4, 4, 11.46
7, 7, 19.08
10, 10, 24.4
13, 13, 30.78
16, 16, 35.46
19, 19, 39.79
22, 22, 45.52
25, 25, 49.28
28, 28, 52.43
31, 31, 56.21
41, 41, 67.26666666666667
51, 51, 73.1
61, 61, 79.43333333333334
71, 71, 83.0
81, 81, 86.66666666666667
91, 91, 89.66666666666667
101, 101, 91.26666666666667
111, 111, 93.53333333333333
121, 121, 95.16666666666667
131, 131, 96.16666666666667
141, 141, 96.73333333333333
151, 151, 97.63333333333334
161, 161, 97.76666666666667
171, 171, 98.56666666666666
181, 181, 98.66666666666667
191, 191, 98.46666666666667
201, 201, 99.43333333333334
211, 211, 99.56666666666666
221, 221, 99.6
231, 231, 99.7
241, 241, 99.7
251, 251, 99.76666666666667
261, 261, 99.66666666666667
271, 271, 99.8
281, 281, 99.86666666666666
291, 291, 99.9
301, 301, 100.0
