desiredholes, actualholes, successrate
0, 0, 0
1, 1, 3.89
4, 4, 13.98
7, 7, 22.46
10, 10, 30.71
13, 13, 36.3
16, 16, 43.22
19, 19, 49.06
22, 22, 53.88
25, 25, 58.7
28, 28, 63.13
31, 31, 66.88
41, 41, 78.03333333333333
51, 51, 84.3
61, 61, 88.9
71, 71, 92.93333333333334
81, 81, 94.93333333333334
91, 91, 96.66666666666667
101, 101, 98.26666666666667
111, 111, 98.13333333333334
121, 121, 98.93333333333334
131, 131, 99.36666666666666
141, 141, 99.53333333333333
151, 151, 99.56666666666666
161, 161, 99.93333333333334
171, 171, 99.86666666666666
181, 181, 99.8
191, 191, 99.96666666666667
201, 201, 100.0
