desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.35
2, 2, 0.59
4, 4, 1.18
5, 6, 1.94
9, 12, 3.97
16, 15, 4.21
17, 20, 5.92
24, 24, 7.41
26, 30, 9.7
34, 35, 10.42
39, 42, 12.51
45, 48, 15.133333333333333
53, 56, 15.9
59, 63, 18.033333333333335
70, 72, 20.633333333333333
74, 80, 22.833333333333332
89, 90, 26.833333333333332
91, 99, 27.766666666666666
109, 108, 30.466666666666665
110, 120, 33.833333333333336
130, 130, 36.266666666666666
134, 143, 41.43333333333333
152, 154, 44.8
160, 168, 48.53333333333333
175, 180, 52.3
188, 195, 55.93333333333333
201, 208, 59.36666666666667
219, 224, 66.33333333333333
228, 238, 68.96666666666667
252, 255, 76.06666666666666
257, 270, 78.3
287, 288, 82.86666666666666
288, 304, 86.5
320, 320, 92.2
324, 340, 91.66666666666667
354, 357, 96.36666666666666
364, 378, 96.23333333333333
390, 396, 100.0
