Point,xcoord,ycoord
0,4.60325699,11.8850527
1,4.040629811,11.76653068
2,4.382810683,11.75229386
3,4.76086182,11.80557435
4,4.59602333,11.53804059
5,4.474042714,11.45519699
6,4.301587563,11.43638577
7,4.132844204,11.1446061
8,4.958528936,1.104233088
9,4.053219399,1.010182645
10,4.093175672,2.33534308
11,4.150570228,2.270601413
12,4.031166193,3.244036334
13,4.563708359,3.343773624
14,3.45981609,4.092459233
15,3.340131619,4.613582882
16,6.178746787,5.695833825
17,6.572273993,5.153334524
18,5.843580384,10.72957151
19,5.069531615,10.83434651
20,8.305490118,11.16781818
21,8.768326634,11.83507133
22,10.3618509,10.37425583
23,10.44596339,11.00445456
24,10.19516783,12.01138303
25,10.43938092,11.05991692
26,9.168183245,13.05217089
27,9.69292207,13.59158952
28,3.691310402,14.80151579
29,3.062185294,14.29172325
30,5.814417508,7.850628895
31,5.722409881,7.522646564
32,2.154702514,8.076574635
33,2.768925219,8.16485534
34,3.050852652,8.965089629
35,3.377435817,8.848385695
36,6.548120671,8.709770462
37,6.029030179,8.913667202
38,3.495456442,9.081094774
39,3.553052679,9.517471008
40,9.970867153,9.959721436
41,9.696743579,9.945492566
42,7.529810773,15.08726981
43,7.351272635,15.37917157
44,9.516970882,15.48591987
45,9.196310594,15.83297084
46,7.881625117,9.076193469
47,7.193280196,9.458729522
48,7.242513356,9.293986421
49,7.074156287,9.599736877
50,7.700726565,9.443479516
51,7.362790712,9.286160302
52,7.426127823,9.419037503
53,7.895048758,9.116554593
54,7.283290135,9.253714518
55,7.178986908,9.761513184
56,7.907139934,9.833007459
57,7.269051607,9.471931563
58,7.859145891,16.90988245
59,7.138860961,16.04152905
60,6.733385735,6.951120401
61,6.820353042,6.183643065
62,6.149636406,6.182547367
63,6.577764555,6.151326839
64,6.296528439,6.715869096
65,6.623006247,6.603164148
66,6.579423774,6.067567187
67,5.679055574,12.74377664
68,5.561158198,12.39403646
69,5.855708037,12.3881238
70,5.070978274,12.84721999
71,5.097434779,12.41548073
72,5.017310299,12.95802715
73,5.784082672,12.2945409
74,7.715998884,12.57571185
75,7.621000726,12.75020361
76,7.446822108,12.09910652
77,7.014254599,12.62682744
78,7.195924584,12.39951043
79,7.08357024,12.51160651
80,7.776688513,12.66134797
81,8.076009578,9.883952703
82,8.719795641,9.331874829
83,8.756110455,9.800444013
84,8.121906579,9.158525833
85,8.574413075,9.397250669
86,8.216334052,9.787639441
87,8.577367154,9.662559565
88,3.7699981,0.657871358
89,3.129220226,0.03715466
90,3.893269003,0.363290332
91,3.473086267,0.06839407
92,3.472371721,0.19035595
93,3.441950963,0.013281641
94,3.377685597,0.028414364
95,3.914767706,0.874089723
